Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,84.7,159.948,232.269,303.252,372.743,442.36,511.191,581.397,649.906,734.443,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,01:24.7,01:15.2,01:12.3,01:11.0,01:09.5,01:09.6,01:08.8,01:10.2,01:08.5,01:24.5,01:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,°C,V, , ,rpm,km/h,gear,°C,°C,°C,°C,bar,bar,%,%,%,deg,lambda,g,g,%,V,g,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.35,73.0412,13,0.8891,0.4056,0.4594,63.6076,24.7962,319.7368,4.4,0.12,46.8817,10.9006626,77.05336492,40.1953,3.8173,69639.3438,-1345.6538,4679.373,72.5224,2,91.797,35.7091,35.7091,93.7652,4.057,-0.2444,46.8125,-53.8125,0,-10.7353,0,-0.0097,-0.2918,0,12.3,0,10277.0459,10433.0303
358.4,73.8984,13,0.9092,0.3988,0.5268,65.0544,25.1143,319.7694,4.4,0.13,46.8312,10.90066628,77.05337371,40.1735,3.8181,69641.2656,-1343.7307,4638,74,2,91.6,36.1,36.1,93.7,4.07,-0.3459,46.0312,-3.0312,0,-4.1176,0,-0.0024,-0.5859,0,12.3,0,10278.0664,10434.0371
358.45,74.5983,13,0.9093,0.3828,0.5097,66.3321,24.8857,319.7665,4.4,0.127,47.7089,10.90066994,77.05338261,40.1518,3.8188,69643.1953,-1341.8077,4639.3042,74.0435,2,91.6,36.1,36.1,93.7,4.07,-0.35,46,-1,0,5.1045,0,0.5125,-0.7003,0,12.3,0,10279.0986,10435.0703
358.5,75.2492,13,0.8945,0.3773,0.5232,67.671,24.2647,319.7826,4.4,0.12,49.3568,10.90067338,77.05339164,40.13,3.8196,69645.1172,-1339.8846,4661.0435,74.7681,2,91.6,36.1,36.1,93.7,4.0883,-0.3688,46,-35.8235,0,12,0,1.01,-0.72,0,12.3,0,10280.1406,10436.1035
358.55,75.8859,13,0.9101,0.3698,0.5414,68.8065,24.4716,319.8049,4.4,0.12,49.3536,10.90067667,77.05340084,40.1083,3.8204,69647.0391,-1337.9615,4668,75,2,91.6,36.1,36.1,93.7,4.1,-0.39,46,-75,0,12,0,1.01,-0.72,0,12.3,0,10281.1895,10437.1436
358.6,76.5285,13,0.9834,0.3448,0.5779,69.734,26.221,319.8293,4.4,0.11,46.4509,10.90067986,77.05341014,40.0866,3.8211,69648.9609,-1336.0385,4668,75,2,91.6,36.1,36.1,93.7,4.1031,-0.39,46,-75,0,12,0,1.01,-0.72,0,12.3,0,10282.248,10438.1836
358.65,76.775,13,1.0367,0.3149,0.6167,71.2924,27.4322,319.8591,4.4,0.113,44.543,10.90068272,77.05341951,40.0648,3.8219,69650.8828,-1334.1154,4668.2949,75.0492,2,91.6,36.1,36.1,93.7,4.1169,-0.4127,48.2727,-49.2424,0,30.7,0,1.4293,-0.5443,0,12.3,0,10283.3125,10439.2314
358.7,77.1413,13,1.0234,0.2987,0.6454,72.9301,26.8928,319.8795,4.4,0.12,45.6531,10.90068528,77.05342901,40.0431,3.8226,69652.8047,-1332.1923,4673.2129,75.8689,2,91.6,36.1,36.1,93.7,4.12,-0.42,49,-41,0,45,0,1.75,-0.41,0,12.3,0,10284.3818,10440.2793
358.75,77.75,13,0.9662,0.3065,0.6564,74.2736,25.2219,319.9011,4.4,0.12,49.0617,10.9006877,77.05343868,40.0213,3.8234,69654.8281,-1330.1705,4809.7393,76.6087,2,91.6,36.1,36.1,93.7,4.1294,-0.378,49.2333,-31.6667,0,44.6721,0,1.6693,-0.4323,0,12.3,0,10285.458,10441.3408
358.8,78.5127,13,0.8767,0.3192,0.665,75.3615,22.7316,319.911,4.4,0.11,54.9706,10.90069009,77.05344855,39.9996,3.8242,69657.0156,-1327.9875,4897,77,2,91.6,36.1,36.1,93.7,4.1419,-0.2486,50,-1,0,40.5738,0,0.6611,-0.711,0,12.3,0,10286.543,10442.4023
358.85,79.2473,13,0.816,0.3306,0.6562,76.3061,21.0096,319.9278,4.4,0.11,60.0325,10.90069222,77.05345846,39.9979,3.824,69659.1953,-1325.8046,4940.5884,77.5294,2,91.6706,36.1,36.1,93.7,4.1486,-0.3557,50,-1,0,30.029,0,0.2957,-0.4072,0,12.3,0,10287.6396,10443.4902
358.9,79.649,13,0.759,0.3532,0.6855,77.4371,19.3978,319.955,4.4,0.11,65.3503,10.90069419,77.05346845,40.0064,3.8234,69661.375,-1323.6216,5122.2061,79.7353,2,91.9647,36.1,36.1,93.7,4.15,-0.39,50,-1,0,24,0,0.16,-0.2,0,12.3,0,10288.7432,10444.5791
358.95,80.1225,13,0.7043,0.3657,0.6984,78.2426,17.8623,319.9689,4.4,0.11,71.3901,10.90069613,77.05347856,40.015,3.8227,69663.5625,-1321.4387,5144,80,2,92,36.1,36.1,93.7,4.1552,-0.3529,50,-1,0,19.5484,0,0.2606,-0.3742,0,12.3,0,10289.8525,10445.6914
359,81.0243,13,0.6482,0.3858,0.6724,78.9078,16.3058,319.9707,4.4,0.11,79.0847,10.90069807,77.05348878,40.0235,3.8221,69665.7422,-1319.2557,5188.5161,80.4839,2,92,36.1,36.1,93.7,4.16,-0.29,50,-1,0,1,0,0.68,-1.1,0,12.3,0,10290.9717,10446.8047
359.05,81.6495,13,0.642,0.3583,0.6597,79.603,16.0192,319.9727,4.4,0.11,81.1208,10.90069977,77.05349904,40.0321,3.8214,69667.9297,-1317.0728,5236,81,2,92,36.1,36.1,93.7,4.16,-0.29,50,-1,0,1,0,0.68,-1.1,0,12.3,0,10292.1016,10447.9277
359.1,82.1207,13,0.6697,0.3377,0.662,80.5006,16.581,319.9865,4.4,0.11,78.8246,10.90070125,77.05350943,40.0407,3.8208,69670.1094,-1314.8898,5246.1816,81.1818,2,92,36.1,36.1,93.7,4.16,-0.29,50,-1,0,1,0,0.68,-1.1,0,12.3,0,10293.2402,10449.0498
359.15,82.6433,13,0.7764,0.3249,0.6652,81.443,19.0847,320.0023,4.4,0.11,68.9197,10.9007026,77.05351996,40.0492,3.8202,69672.2969,-1312.7069,5331.0303,82.697,2,92,36.1,36.1,93.7,4.1913,-0.3079,54.1774,-1,0,-2.15,0,1.1885,-0.542,0,12.3,0,10294.3838,10450.1895
359.2,83.3595,13,0.8733,0.3246,0.6572,82.4408,21.3224,320.0069,4.4,0.11,62.2214,10.90070377,77.05353057,40.0578,3.8195,69674.4766,-1310.5239,5348,83,2,92,36.1,36.1,93.7,4.2,-0.32,57,-1,0,-0.5513,0,1.6095,-0.0801,0,12.3,0,10295.5371,10451.3301
359.25,84.0586,13,0.9093,0.3439,0.656,83.6546,22.0514,320.0283,4.4,0.11,60.669,10.90070466,77.05354131,40.0663,3.8189,69676.5625,-1308.4384,5394.5,83.4559,2,92,36.1,36.1,93.7,4.2094,-0.3503,63.2121,-1,0,15.4744,0,1.0197,-0.7276,0,12.3,0,10296.7012,10452.4902
359.3,84.6215,13,0.9232,0.3691,0.6695,84.8079,22.2295,320.0515,4.4,0.1155,60.5858,10.90070539,77.05355224,40.0749,3.8182,69678.6172,-1306.3835,5450,84,2,92,36.1063,36.1063,93.725,4.2306,-0.5018,94.2727,-1,0,19,0,0.89,-0.87,0,12.3,0,10297.873,10453.6494
359.35,85.1649,13,0.9282,0.3843,0.6935,86.0053,22.1808,320.0725,4.48,0.12,61.1088,10.90070593,77.05356309,40.0834,3.8176,69680.6719,-1304.3287,5449.4414,84.0588,2,91.9882,36.1844,36.1844,94.0375,4.2384,-0.427,98,-1,0,18.5143,0,0.8317,-0.9137,0,12.3,0,10299.0518,10454.8262
359.4,85.638,13,0.9228,0.3929,0.7128,87.2401,21.8782,320.1038,4.5,0.13,62.2981,10.90070606,77.05357405,40.092,3.817,69682.7266,-1302.2739,5435.4707,85.5294,2,91.6941,36.2,36.2,94.1,4.24,-0.37,98,-1,0,18,0,0.77,-0.96,0,12.3,0,10300.2373,10456.0039
359.45,86.5102,13,0.8448,0.4097,0.7192,88.3086,19.874,320.1241,4.5,0.127,69.2792,10.9007062,77.05358523,40.1006,3.8163,69684.7812,-1300.2192,5403.2769,87.0462,2,91.6,36.2,36.2,94.1,4.2434,-0.364,98,-1,0,18,0,0.77,-0.96,0,12.3,0,10301.4346,10457.209
359.5,87.5559,13,0.7393,0.4543,0.7208,88.9537,17.248,320.1476,4.5,0.12,80.7917,10.90070616,77.05359653,40.1091,3.8157,69686.8359,-1298.1644,5378,88,2,91.6,36.2,36.2,94.1,4.25,-0.3426,98,-1,0,-1.697,0,0.7397,-0.7176,0,12.3,0,10302.6445,10458.4141
359.55,88.232,13,0.6519,0.4846,0.7098,89.5696,15.0686,320.1588,4.5,0.112,93.1905,10.90070607,77.05360794,40.1177,3.815,69688.8906,-1296.1096,5378,88,2,91.6,36.2,36.2,94.1,4.25,-0.34,98,-1,0,-8,0,0.73,-0.64,0,12.3,0,10303.8652,10459.6367
359.6,88.9663,13,0.5912,0.509,0.715,90.1658,13.5318,320.1752,4.5,0.11,104.6378,10.90070582,77.05361928,40.1262,3.8144,69690.9453,-1294.0548,5378,88,2,91.6,36.2,36.2,94.1,4.25,-0.34,98,-1,0,-8,0,0.73,-0.64,0,12.3,0,10305.0957,10460.8584
359.65,90.0186,13,0.5367,0.5367,0.7293,90.8747,12.1623,320.1956,4.5,0.11,117.7981,10.90070544,77.05363092,40.1348,3.8137,69693,-1292,5393.6064,89.1148,2,91.6,36.2,36.2,94.1,4.246,-0.3225,98,-1,0,-8.5806,0,0.7073,-0.6511,0,12.3,0,10306.3398,10462.0947
359.7,90.9542,13,0.5061,0.5578,0.7347,91.5517,11.3469,320.2176,4.5,0.11,127.5745,10.90070496,77.05364264,40.1433,3.8131,69694.1562,-1290.8431,5406,90,2,91.6,36.2,36.2,94.1,4.24,-0.26,98,-1,0,-18.2581,0,0.3282,-0.8366,0,12.3,0,10307.5977,10463.3311
359.75,91.9433,13,0.5115,0.5735,0.7167,92.0892,11.3439,320.2253,4.5,0.11,128.9959,10.90070444,77.05365453,40.1519,3.8125,69695.3125,-1289.6864,5409.7998,90.0667,2,91.6,36.2,36.2,94.1,4.24,-0.1257,98,-1,0,-10.209,0,0.6945,-0.5763,0,12.3,0,10308.8682,10464.5879
359.8,93.1512,13,0.52,0.59,0.7211,92.5345,11.4053,320.231,4.5,0.11,129.9879,10.90070386,77.05366652,40.1605,3.8118,69696.4688,-1288.5295,5457.2998,90.9,2,91.6,36.2,36.2,94.1,4.24,-0.08,98,-1,0,-4,0,0.97,-0.39,0,12.3,0,10310.1533,10465.8438
359.85,94.2204,13,0.5399,0.5928,0.7017,93.1858,11.7105,320.2404,4.5,0.11,128.0533,10.90070295,77.05367866,40.2023,3.8125,69697.625,-1287.3728,5476.8286,92.8857,2,91.9771,36.3824,36.3824,93.8265,4.2446,-0.0925,98,-83.1194,0,-1.209,0,0.9076,-0.4655,0,12.3,0,10311.4561,10467.127
359.9,95.2563,13,0.5494,0.5905,0.7028,93.8709,11.7849,320.2526,4.5,0.11,128.6431,10.90070198,77.05369086,40.2598,3.8137,69698.7812,-1286.2159,5485,94,2,92.2,36.6,36.6,93.5,4.25,-0.12,98,-263,0,11.4776,0,0.624,-0.8088,0,12.3,0,10312.7725,10468.4111
359.95,96.1553,13,0.5423,0.5914,0.6993,94.4951,11.5067,320.2675,4.5,0.11,132.9967,10.90070087,77.05370314,40.3173,3.8149,69699.9375,-1285.0591,5495.4346,94.5217,2,92.2,36.6,36.6,93.5,4.2494,-0.12,98,-263,0,11.3077,0,0.0428,-0.9346,0,12.3,0,10314.1016,10469.7354
360,97.0773,13,0.4924,0.5935,0.6742,94.9821,10.3346,320.2746,4.5,0.1105,149.5006,10.90069963,77.05371561,40.3748,3.8161,69701.1016,-1283.9023,5538.9131,96.6957,2,92.2,36.6,36.6,93.5,4.2347,-0.3732,98,-101.1765,0,10,0,-0.38,-1,0,12.3,0,10315.4434,10471.0596
360.05,98.1206,13,0.4666,0.5676,0.6749,95.4535,9.6906,320.2817,4.5,0.117,161.1495,10.90069833,77.05372815,40.4323,3.8174,69702.1797,-1282.8197,5545,97,2,92.2,36.6,36.6,93.5,4.23,-0.53,98,-1,0,10,0,-0.38,-1,0,12.3,0,10316.8008,10472.4043
360.1,99.2616,13,0.4228,0.5438,0.6707,95.8794,8.6927,320.2969,4.5,0.11,181.7388,10.90069692,77.05374089,40.4898,3.8186,69703,-1282,5545,97,2,92.2,36.6,36.6,93.5,4.23,-0.53,98,-1,0,10,0,-0.38,-1,0,12.3,0,10318.1719,10473.75
360.15,100.297,13,0.3681,0.5156,0.6641,96.1801,7.4946,320.3081,4.5,0.11,212.9908,10.90069552,77.05375377,40.5474,3.8198,69703.8203,-1281.1803,5562,97.5763,2,92.2,36.6,36.6,93.5,4.2316,-0.53,98,-1,0,1.9355,0,0.8781,0.0484,0,12.3,0,10319.5576,10475.1113
360.2,101.0398,14,0.287,0.4844,0.6487,96.4296,5.7908,320.3133,4.5,0.11,277.6975,10.90069403,77.05376663,40.6049,3.8211,69704.6406,-1280.3606,5604,99,2,92.2,36.6,36.6,93.5,4.2398,-0.354,98,-1160.2,0,0,0,1.18,0.3,0,12.3,0,10320.9561,10476.4727
360.25,101.7862,14,0.1604,0.5236,0.646,96.6878,3.2121,320.326,4.5,0.11,504.3312,10.90069239,77.05377957,40.6624,3.8223,69705.4609,-1279.541,5604,99,2,92.2,36.6,36.6,93.5,4.2732,-0.215,98,-571.5667,0,-2,0,0.99,0.19,0,12.3,0,10322.3652,10477.8574
360.3,102.7968,14,0.0183,0.5577,0.6483,96.8274,0.3677,320.3357,4.5,0.11,4449.3105,10.90069082,77.05379268,40.7199,3.8235,69706.2812,-1278.7213,5684.5713,100.4921,2,92.2,36.6,36.6,93.5,4.28,-0.16,98,-63,0,-4,0,0.8,0.08,0,12.3,0,10323.7871,10479.2432
360.35,103.7556,13,-0.1101,0.5687,0.649,96.7533,-2.1579,320.3492,4.5,0.11,765.2566,10.90068922,77.05380595,40.7774,3.8248,69707.1016,-1277.9016,5808.6572,102.4571,2,92.1514,36.6686,36.6686,93.6029,4.28,-0.1645,98,-53.7463,0,-4,0,0.8,0.08,0,12.3,0,10325.2217,10480.6631
360.4,104.5657,13,-0.2425,0.5398,0.6457,96.5554,-4.7123,320.3576,4.5,0.11,353.1675,10.90068779,77.0538193,40.8349,3.826,69707.9219,-1277.0819,5911,104,2,92.1,36.8,36.8,93.8,4.28,-0.1869,98,-7.4776,0,-11.5758,0,-0.4197,-0.5639,0,12.3,0,10326.668,10482.083
360.45,105.2135,13,-0.377,0.4385,0.6163,96.1667,-7.26,320.3513,4.5,0.11,230.651,10.90068645,77.05383272,40.8924,3.8272,69708.7344,-1276.2623,5916.6001,104.1143,2,92.1,36.8,36.8,93.8,4.28,-0.19,98,-1,0,-21.3231,0,-0.8205,-0.2992,0,12.3,0,10328.126,10483.5381
360.5,106.0054,13,-0.4962,0.2991,0.6052,95.6245,-9.4907,320.3494,4.5,0.11,177.7667,10.90068524,77.05384629,40.9499,3.8285,69709.5547,-1275.4426,5986.6001,105.5429,2,92.1,36.8,36.8,93.8,4.3158,-0.1221,98,9.6061,0,-28,0,-0.83,0.13,0,12.3,0,10329.5938,10484.9932
360.55,107.048,13,-0.5768,0.1569,0.6208,95.009,-10.9812,320.3772,4.5,0.11,155.1486,10.90068411,77.05386005,41.0074,3.8297,69710.375,-1274.6229,6009,106,2,92.1,36.8,36.8,93.8,4.34,-0.03,98,24,0,-28,0,-0.83,0.13,0,12.3,0,10331.0723,10486.4629
360.6,107.5338,13,-0.6404,0.0074,0.6309,94.3559,-12.1641,320.3937,4.5,0.11,140.6972,10.90068324,77.05387373,41.0649,3.8309,69711.1953,-1273.8032,6009,106,2,92.1,36.8,36.8,93.8,4.342,-0.03,98,24,0,-28,0,-0.83,0.13,0,12.3,0,10332.5625,10487.9316
360.65,106.8129,13,-0.6905,-0.161,0.6425,93.6829,-13.1197,320.4058,4.5,0.11,129.5742,10.90068253,77.05388722,41.1224,3.8322,69712.0156,-1272.9836,6014.7095,106.0968,2,92.1,36.8,36.8,93.8,4.3565,10.9234,19.6,54.1538,0,-20.0667,0,-0.932,-0.3347,0,12.3,0,10334.0508,10489.416
360.7,105.4887,13,-0.7265,-0.3344,0.6553,93.057,-13.8457,320.4124,4.5,0.11,121.2582,10.90068193,77.05390046,41.18,3.8334,69712.8359,-1272.1639,6109.8711,107.7097,2,92.1,36.8,36.8,93.8,4.36,14.5,-6,64,0,-14,0,-1.01,-0.69,0,12.3,0,10335.5234,10490.8994
360.75,104.2645,13,-0.7291,-0.482,0.6631,92.4447,-13.9768,320.4255,4.5,0.11,118.7264,10.90068152,77.05391357,41.2375,3.8346,69713.6562,-1271.3442,5734.1343,108.6119,2,92.1,36.8,36.8,93.8,4.3507,14.535,-6,63.5333,0,-14,0,-1.0434,-0.6074,0,12.3,0,10336.9805,10492.4043
360.8,103.1242,13,-0.725,-0.5767,0.6922,91.7182,-14.0136,320.4497,4.5,0.11,117.12,10.90068124,77.05392656,41.295,3.8358,69715.3125,-1269.6885,5485,109,2,92.1,36.7054,36.7054,93.6865,4.3457,14.5551,-6,62.0571,0,-14,0,-1.4615,0.4254,0,12.3,0,10338.4209,10493.9102
360.85,102.2188,13,-0.7415,-0.6539,0.6854,91.0954,-14.4794,320.4514,4.5,0.107,112.3574,10.90068115,77.05393944,41.2706,3.8355,69717.5703,-1267.4271,5473.1763,108.1176,2,92.0471,36.3676,36.3676,93.2811,4.3659,13.3694,-6,62.7714,0,-21.3714,0,-0.574,0.8219,0,12.3,0,10339.8447,10495.3926
360.9,101.5726,13,-0.7751,-0.6909,0.6767,90.3787,-15.3091,320.4408,4.5,0.1,105.5962,10.90068127,77.0539522,41.2076,3.8343,69719.8359,-1265.1658,5423.9116,104.4412,2,91.8265,36.3,36.3,93.2,4.37,12.99,-6,63,0,-26,0,0.02,0.98,0,12.3,0,10341.2598,10496.874
360.95,100.6731,13,-0.8141,-0.6936,0.6688,89.4224,-16.275,320.4362,4.5,0.1,98.4491,10.90068158,77.05396489,41.1447,3.8332,69722.0938,-1262.9045,5372.8423,102.8421,2,91.8,36.3,36.3,93.2,4.3797,13.0167,-6,62.6667,0,-26.5217,0,-0.107,0.9365,0,12.3,0,10342.6641,10498.3076
361,99.2899,12,-0.862,-0.6404,0.6709,88.5091,-17.4428,320.4475,4.5,0.1,90.5962,10.900682,77.05397746,41.0817,3.832,69724.3594,-1260.6432,5340,102,2,91.8,36.3,36.3,93.2,4.39,13.07,-6,62,0,-28.6957,0,-0.6359,0.7554,0,12.3,0,10344.0527,10499.7412
361.05,98.1622,12,-0.8912,-0.5592,0.6927,87.6511,-18.2372,320.4531,4.5,0.1,85.6654,10.90068262,77.05398976,41.0188,3.8309,69726.6172,-1258.382,5340,102,2,91.8,36.3,36.3,93.2,4.39,13.07,-6,62,0,-29,0,-0.71,0.73,0,12.3,0,10345.4219,10501.1582
361.1,97.0516,12,-0.9043,-0.5228,0.6986,86.8131,-18.692,320.4633,4.5,0.1,82.6355,10.90068346,77.05400196,40.9558,3.8297,69728.8828,-1256.1206,5340,102,2,91.8,36.3,36.3,93.2,4.39,13.07,-6,62,0,-29,0,-0.71,0.73,0,12.3,0,10346.7773,10502.5752
361.15,96.0202,12,-0.9241,-0.5392,0.7081,85.804,-19.285,320.4843,4.5,0.1,79.2434,10.90068442,77.05401405,40.8929,3.8286,69731.1406,-1253.8593,5266.4033,100.7419,2,91.8,36.3,36.3,93.2,4.385,12.802,-6,62.2881,0,-28.5,0,-1.0133,0.66,0,12.3,0,10348.1172,10503.9775
361.2,95.049,12,-0.9343,-0.5657,0.7323,84.7006,-19.6928,320.5041,4.5,0.11,76.8176,10.90068562,77.05402601,40.8299,3.8275,69733.7578,-1251.2452,5223,100,2,91.8,36.3,36.3,93.2,4.38,12.14,-6,63,0,-26,0,-2.53,0.31,0,12.3,0,10349.4453,10505.3799
361.25,94.1035,12,-0.9168,-0.5399,0.7617,83.6745,-19.5285,320.5308,4.5,0.11,76.6933,10.90068701,77.05403773,40.767,3.8263,69736.5859,-1248.415,5189.3608,99.4098,2,91.8,36.3,36.3,93.2,4.3733,12.14,-6,63,0,-9.3333,0,-0.3467,0.585,0,12.3,0,10350.7568,10506.7549
361.3,93.3355,12,-0.8974,-0.5099,0.7913,82.8357,-19.3108,320.5521,4.5,0.11,76.9249,10.90068858,77.05404944,40.704,3.8252,69739.4141,-1245.585,5109,98,2,91.8,36.3,36.3,93.2,4.34,11.662,-6,62.2034,0,-6,0,0.09,0.64,0,12.3,0,10352.0586,10508.1299
361.35,92.4942,12,-0.8701,-0.4783,0.789,81.9342,-18.9055,320.5572,4.5,0.118,77.8658,10.90069026,77.05406088,40.6411,3.824,69742.2422,-1242.7548,5109,98,2,91.8,31.6333,31.6333,93.45,4.3233,11.4925,-6,61.4062,0,-9.6364,0,-1.0327,0.7491,0,12.3,0,10353.3486,10509.4756
361.4,91.7952,12,-0.8409,-0.4548,0.7987,81.0685,-18.4387,320.5827,4.5,0.1305,79.2338,10.90069214,77.05407242,40.5781,3.8229,69745.0781,-1239.9246,4956,95.75,2,92.25,30.7,30.7,93.5,4.32,11.46,-6,61,0,-14,0,-2.38,0.88,0,12.3,0,10354.6289,10510.8213
361.45,90.7129,12,-0.8318,-0.4847,0.8369,80.1153,-18.4031,320.6143,4.5,0.14,78.451,10.90069418,77.0540836,40.5152,3.8217,69747.9062,-1237.0944,4853.7461,93.4776,2,92.4,30.7,30.7,93.5,4.3063,11.732,-6,61.2,0,-14,0,-2.38,0.88,0,12.3,0,10355.8945,10512.125
361.5,89.8115,12,-0.836,-0.5216,0.8775,79.0435,-18.6751,320.6488,4.5,0.14,76.5402,10.90069641,77.0540946,40.4522,3.8206,69750.7344,-1234.2642,4804,92,2,92.4,30.7,30.7,93.5,4.28,12.7034,-6,61.9143,0,-32.1818,0,-1.6982,0.2512,0,12.3,0,10357.1465,10513.4287
361.55,88.9869,12,-0.8431,-0.5298,0.9067,78.0566,-19.0298,320.6733,4.5,0.14,74.4237,10.90069878,77.0541055,40.3893,3.8194,69753.5625,-1231.434,4804,92,2,92.4,30.7,30.7,93.5,4.28,12.82,-6,62,0,-38,0,-1.48,0.05,0,12.3,0,10358.3887,10514.707
361.6,88.0091,13,-0.8655,-0.5229,0.9413,77.2723,-19.7446,320.699,4.5,0.13,70.9414,10.90070126,77.05411625,40.3263,3.8183,69756.4688,-1228.5333,4804,92,2,92.4,30.7,30.7,93.5,4.28,12.82,-6,62,0,-38,0,-1.48,0.05,0,12.3,0,10359.6182,10515.9844
361.65,87.0084,13,-0.9032,-0.5207,0.9712,76.2268,-20.8247,320.7277,4.5,0.13,66.4971,10.90070394,77.05412681,40.2634,3.8172,69759.7969,-1225.2,4736,90.3,2,92.4,30.7,30.7,93.5,4.28,11.8641,-6,62,0,-37.1774,0,-1.4858,0.0853,0,12.3,0,10360.832,10517.2412
361.7,85.8646,13,-0.9361,-0.5215,0.9904,75.0993,-21.8149,320.7479,4.5,0.13,62.6444,10.90070684,77.05413711,40.2004,3.816,69763.1328,-1221.8667,4684,89,2,92.4,30.7,30.7,93.5,4.2692,8.45,-6,62,0,-23.4677,0,-1.5826,0.674,0,12.3,0,10362.0312,10518.498
361.75,84.8643,13,-0.946,-0.528,1.0038,73.9922,-22.2846,320.7655,4.5,0.138,60.6095,10.90070984,77.05414727,40.1375,3.8149,69766.4688,-1218.5333,4678.2949,88.9344,2,92.4,30.7,30.7,93.5,4.2199,8.7112,-6,60.5075,0,-34.0725,0,-0.8216,0.7384,0,12.3,0,10363.2168,10519.7285
361.8,84.1083,13,-0.9648,-0.5084,1.0394,72.8076,-22.9789,320.7977,4.5,0.14,58.2545,10.90071309,77.05415729,40.0745,3.8137,69769.7969,-1215.2,4606.9834,88.1148,2,92.4,30.7,30.7,93.5,4.21,8.8,-6,60,0,-43,0,-0.29,0.71,0,12.3,0,10364.3906,10520.958
361.85,83.5165,14,-1.015,-0.4926,1.0598,71.4087,-24.4381,320.8257,4.5,0.137,54.3909,10.90071664,77.05416719,40.0924,3.8138,69773.1328,-1211.8667,4484.8262,86.1304,2,92.1507,29.6647,29.6647,93.4529,4.2288,9.0009,-6,60,0,-44.7647,0,-0.1894,0.6271,0,12.3,0,10365.5537,10522.1602
361.9,82.7848,14,-1.0884,-0.4949,1.0666,70.1675,-26.486,320.8396,4.5,0.13,49.7455,10.90072035,77.05417694,40.1483,3.8145,69776.4688,-1208.5333,4417,85,2,92,28.5,28.5,93.4,4.25,9.43,-6,60,0,-52.1176,0,0.2297,0.2815,0,12.3,0,10366.709,10523.3623
361.95,81.6941,14,-1.1595,-0.5035,1.101,68.9885,-28.5222,320.8723,4.5,0.13,45.5856,10.90072409,77.05418639,40.2042,3.8152,69779.7969,-1205.2,4403.9565,84.6522,2,92,28.5,28.5,93.4,4.2471,9.43,-6,60,0,-51.8421,0,-0.6463,0.2516,0,12.3,0,10367.8496,10524.5312
362,80.4814,14,-1.2099,-0.4878,1.1576,67.6053,-30.0906,320.9161,4.5,0.14,42.5682,10.90072792,77.05419561,40.2601,3.8159,69783.1328,-1201.8667,4349.6089,83.2029,2,92,28.5,28.5,93.4,4.1735,7.7685,-6,60,0,-51,0,-1.32,0.26,0,12.3,0,10368.9766,10525.6992
362.05,79.5141,14,-1.2094,-0.4817,1.2236,66.0855,-30.4091,320.9632,4.5,0.14,41.6161,10.90073212,77.05420455,40.316,3.8166,69786.3984,-1198.5984,4342,83,2,92,28.5,28.5,93.4,4.15,6.74,-6,60,0,-51,0,-1.32,0.26,0,12.3,0,10370.0869,10526.8535
362.1,78.8551,14,-1.1878,-0.4868,1.2246,64.3711,-30.1928,320.9786,4.5,0.14,41.5668,10.90073662,77.05421337,40.3719,3.8173,69789.2734,-1195.7295,4342,83,2,92,28.5,28.5,93.4,4.15,6.595,-6,59.6667,0,-51,0,-1.32,0.26,0,12.3,0,10371.1855,10528.0068
362.15,78.2626,14,-1.1857,-0.4676,1.2465,62.5703,-30.4778,320.9879,4.5,0.14,40.8687,10.90074132,77.05422202,40.4278,3.8179,69792.1406,-1192.8606,4321.9331,82.7667,2,92,28.5,28.5,93.4,4.1487,5.9908,-6,58.2778,0,-53.9851,0,-0.4916,0.2376,0,12.3,0,10372.2764,10529.1523
362.2,77.3871,14,-1.1806,-0.4463,1.2744,60.8453,-30.6781,321.0198,4.5,0.14,40.1477,10.90074618,77.05423037,40.4837,3.8186,69795.0078,-1189.9918,4250.7944,81.9452,2,92,28.5,28.5,93.4,4.132,5.87,-6,58,0,-55,0,-0.21,0.23,0,12.3,0,10373.3574,10530.2979
