Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,84.7,159.948,232.269,303.252,372.743,442.36,511.191,581.397,649.906,734.443,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,01:24.7,01:15.2,01:12.3,01:11.0,01:09.5,01:09.6,01:08.8,01:10.2,01:08.5,01:24.5,01:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,°C,V, , ,rpm,km/h,gear,°C,°C,°C,°C,bar,bar,%,%,%,deg,lambda,g,g,%,V,g,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,9.1431,9.1389
0.75,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,9.7961,9.7917
0.8,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,10.4492,10.4444
0.85,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,11.1023,11.0972
0.9,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,11.7554,11.75
0.95,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,12.4084,12.4028
1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,13.0615,13.0556
1.05,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,13.7146,13.7083
1.1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,14.3677,14.3611
1.15,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,15.0207,15.0139
